To,Direction,Lodigion
clk,Input,PIN_18
rst,Input,PIN_124
colg[7],Output,PIN_45
colg[6],Output,PIN_44
colg[5],Output,PIN_43
colg[4],Output,PIN_42
colg[3],Output,PIN_41
colg[2],Output,PIN_40
colg[1],Output,PIN_39
colg[0],Output,PIN_38
colr[7],Output,PIN_22
colr[6],Output,PIN_21
colr[5],Output,PIN_16
colr[4],Output,PIN_15
colr[3],Output,PIN_14
colr[2],Output,PIN_13
colr[1],Output,PIN_12
colr[0],Output,PIN_11
row[7],Output,PIN_1
row[6],Output,PIN_2
row[5],Output,PIN_3
row[4],Output,PIN_4
row[3],Output,PIN_5
row[2],Output,PIN_6
row[1],Output,PIN_7
row[0],Output,PIN_8
